ID	Adres	Soort	Datum	Omschrijving	Foto	COORDS	longitude	latitude
274	Pinksterbloemstraat 2-18, 3, 7, 19, 21, 23, 24, 32, 34, 36, 39	Omgevingsschade	25/07/1943			POINT(4.912984 52.398512)	4,912984	52,398512
275	Floraweg 13, 24-37	Omgevingsschade	25/07/1943			POINT(4.917099 52.399805)	4,917099	52,399805
276	Binnenhofstraat 5, 47, 65, 75	Omgevingsschade	25/07/1943			POINT(4.915741 52.399008)	4,915741	52,399008
277	Bitterzoetstraat 9, 36	Omgevingsschade	25/07/1943			POINT(4.917117 52.3994)	4,917117	52,3994
278	Sneeuwbalstraat 44, 48, 62, 84	Omgevingsschade	25/07/1943			POINT(4.915347 52.397317)	4,915347	52,397317
279	Campanulastraat 1, 7, 9, 10-18	Omgevingsschade	25/07/1943			POINT(4.91575 52.398092)	4,91575	52,398092
280	Dotterbloemstraat 19, 20, 21, 22-28, 35	Omgevingsschade	25/07/1943			POINT(4.914365 52.398527)	4,914365	52,398527
281	Ereprijsstraat 1	Omgevingsschade	25/07/1943			POINT(4.916218 52.398354)	4,916218	52,398354
282	Aurikelstraat 117	Omgevingsschade	25/07/1943			POINT(4.916194 52.397806)	4,916194	52,397806
283	Pirolastraat 10, 11, 14, 15, 17, 22, 23, 25, 29, 32, 40, 43, 44	Omgevingsschade	25/07/1943			POINT(4.915368 52.398108)	4,915368	52,398108
284	Korenbloemstraat 31, 34, 37, 41, 48, 49, 52, 53, 56, 57, 60, 63, 64, 65	Omgevingsschade	25/07/1943			POINT(4.913923 52.398642)	4,913923	52,398642
285	Buiksloterdijk 322, 384, 468-632	Omgevingsschade	25/07/1943			POINT(4.919592 52.400192)	4,919592	52,400192
286	Stadionweg 103	Mitrailleurvuur	25/07/1943	Mitrailleurkogel door het dak. Lichte schade. Geen persoonlijke ongelukken		POINT(4.870275 52.346475)	4,870275	52,346475
287	Buikslotermeerdijk 7	Bom, granaat, afweergeschut	25/07/1943	Blindganger in het water gevallen		POINT(4.925043 52.397436)	4,925043	52,397436
288	Netwerkweg 15	Bom, granaat, afweergeschut	28/07/1943	Brisantbom, 1 blindganger. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.883298 52.410693)	4,883298	52,410693
289	Nieuwendammerkade 1	Bom, granaat, afweergeschut	28/07/1943	Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.935829 52.384284)	4,935829	52,384284
290	Distelweg 90	Bom, granaat, afweergeschut	28/07/1943	Brisantbom, 1 blindganger. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.900945 52.394985)	4,900945	52,394985
291	Distelweg 85	Bom, granaat, afweergeschut	28/07/1943	Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.904744 52.39279)	4,904744	52,39279
292	Mosplein 40	Bom, granaat, afweergeschut	28/07/1943	Brisantbom. [In totaal 9 woonhuizen vernietigd, 11 zwaar beschadigd, 207 met glas- en dakschade. 13 doden, 22 zwaargewonden en 36 lichtgewonden]		POINT(4.913072 52.392958)	4,913072	52,392958
293	Mussenstraat 2	Bom, granaat, afweergeschut	30/07/1943	Blindganger gevonden?		POINT(4.916257 52.386356)	4,916257	52,386356
294	Gerard Brandtstraat 30	Overig	25/08/1943	Een zelfregistrerende barometer met parachute gevonden		POINT(4.868373 52.35985)	4,868373	52,35985
295	Singel 320	Vliegtuig(onderdeel) neergestort	30/08/1943	Een voorwerp gevonden dat op een benzinetank lijkt en een brandbare vloeistof bevat.`		POINT(4.887831 52.370979)	4,887831	52,370979
296	Herculesstraat 52/II	Bom, granaat, afweergeschut	03/10/1943	Granaatscherf van het afweergeschut. Heeft een gat geslagen in de dakgoot. Verder schade aan plafond van de tweede etage en waterschade tweede en eerste etage		POINT(4.862425 52.347654)	4,862425	52,347654
297	Haringvlietstraat 17	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.886832 52.346232)	4,886832	52,346232
298	Karel du Jardinstraat 4	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.893166 52.350743)	4,893166	52,350743
299	Wijdenesserstraat 4	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.946468 52.389699)	4,946468	52,389699
300	Nachtegaalstraat 76	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.913352 52.384619)	4,913352	52,384619
301	Kraaienplein 28	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.915364 52.386047)	4,915364	52,386047
302	Buiksloterdijk 138	Vliegtuig(onderdeel) neergestort	11/11/1943	Lege benzinetank neergekomen		POINT(4.923712 52.395481)	4,923712	52,395481
303	Linnaeusstraat 2	Luchtaanval	25/11/1943	Kogel Duits Vliegtuig. R.W. Hunia getroffen en zwaar gewond door een kogel uit een Duits vliegtuig		POINT(4.923814 52.361706)	4,923814	52,361706
304	Sleutelbloemstraat 40	Bom, granaat, afweergeschut	26/11/1943	Brandbom?		POINT(4.912484 52.390268)	4,912484	52,390268
305	Wingerdweg 40	Bom, granaat, afweergeschut	26/11/1943	Brandbom		POINT(4.915735 52.389877)	4,915735	52,389877
306	Asterweg 1	Bom, granaat, afweergeschut	26/11/1943	Brandbom?		POINT(4.904289 52.38877)	4,904289	52,38877
307	Mosveld 2	Bom, granaat, afweergeschut	26/11/1943	Brandbom?		POINT(4.916177 52.391065)	4,916177	52,391065
308	Spuistraat 259	Bom, granaat, afweergeschut	26/11/1943	Granaat van het luchtdoelgeschut ingeslagen. `Is door dak heengeslagen en op de 2e verdieping van boven geëxplodeerd.` Dak zwaar beschadigd en aanzienlijke glasschade. Verder glasschade aan nummers 268, 270, 272 en 274		POINT(4.889276 52.370428)	4,889276	52,370428
309	Ceintuurbaan 203	Bom, granaat, afweergeschut	26/11/1943	Granaat van het luchtdoelgeschut ontploft. Bovenleiding van de trambaan vernield en bestrating ernstig beschadigd. Aanzienlijke glasschade aan de omliggende huizen. 		POINT(4.901909 52.355201)	4,901909	52,355201
310	Keizersgracht 688	Bom, granaat, afweergeschut	26/11/1943	Granaatscherf ingeslagen. Schade gering, hoofdzakelijk glasschade [Gebouw in gebruik bij de Duitse Weermacht]		POINT(4.894377 52.363259)	4,894377	52,363259
311	Sloterweg 1121	Overig	28/11/1943	Kleine Ballon. `Ca. 15.15 uur is uit Westelijke richting komen aandrijven een kleine ballon waaraan een bus, welke tegen landhek achter perceel Sloterweg 1121 is blijven hangen. De bus was gevuld met petroleum en andere stoffen.`		POINT(4.803263 52.341122)	4,803263	52,341122
312	Rokin 113	Bom, granaat, afweergeschut	04/12/1943	Granaat van het afweergeschut ontploft. Glasschade aan Rokin 98 en 101-119 Geen gewonden		POINT(4.892766 52.369526)	4,892766	52,369526
313	Warmoesstraat 147	Bom, granaat, afweergeschut	13/12/1943	Granaat van het afweergeschut ontploft. Schade: De ondergetekende Ties Rozema, Kapitein der Staatspolitie ter standplaats Amsterdam, Vakhoofd in van IV, verklaar het volgende: Op maandag 13 december 1943, den voormiddags te ongeveer 10.17 uur, is vermoedelijk een granaatvan het luchtafweergeschut terechtgekomen op den voetweg van den openbaren weg de Warmoesstraat te Amsterdam voor perceel 147/151 en aldoor ontploft. Er ontstond een gat in den voetwegvoor den kelder van het perceel, terwijl van het perceel (Fa. Ellerman en Harms), alle ruiten aan de voorzijde werden vernield. Alsmede van het perceel Warmoesstraat 142/144/146/148 (Fa. S. I. de Vries), Vele ruiten aan de voorzijde, van perceel Warmoesstraat 153 (Cafe Terminus), verschillende ruiten op de eerste en tweede verdieping, ruit van het cafe en het glas van de lichtbak, en van perceel 175 (Pakhuis Bijenkorf), eenige ruiten op de eerste etage. Tevens werden de volgende personen meer of minder ernstig gewond: Mej. Kat, Dhr. Wieriks, Dhr. Lambroek. () Mej. Kat werd ernstig aan haar beenen verwond, en is, blijkens  informatie op 15 december 1943, in hetGasthuis overleden, aan de gevolgen.  Voor zover bekend zijn bij het explodeeren geen verbindingen verbroken, er zijn geen storingen in fabrieken of bedrijven ontstaan. Het politiepersoneel van bureau Warmoesstraat, geassisteerd door twee ruiters en eenige manschappen van de ordedienstis de afzetting geregeld. Na het opruimen van het glas den openbare weg is het verkeer vrijgegeven. () Volgens bekomen inlichtingen zouden het meisje Kat en de verwonde Lambroek zich op den openbaren weg hebben bevonden, toen de granaat explodeerde. Volgens het personeel van Ellerman bevond de gewonde Wieriks zich in de portiek van dat perceel, althans in de nabijheid daarvan, toen de granaat ontplofte. Het komt mij evenwel voor, dat, gezien de plaats van de ontploffing t.o.v. bedoelde portiek, en de bouw van de portiek, bedoelde persoon zich niet in de portiek kan hebben bevonden, toen hij verwond werd. M.i. zouden Kat en Wieriks zich gezien de plaats waar de granaat geëxplodeerd is, niet door scherven van de granaat zijn getroffen, indien zij in een portiek of i.d. aan dien kant van den weg, waar zij zijn getroffen, dekking hadden gezocht. Niet veilig zouden zij hebben gestaan in een eventueele portiek aan de overzijde van de straat. Waar de straat ?bezaaid? was met glas zouden zij in een portiek wel beschermd zijn geweest tegen glasscherven. Hiervan dit rapport opgemaakt op ambtseed te Amsterdam op 16 December 1943. Warmoesstraat 147: schade aan straat en kelder. Warmoesstraat 147-151, drukkerij v/h Ellerman Harms & Co.: alle ruiten stuk. Warmoesstraat 142-148, N.V. Handelsver. v/h S.I. de Vries: alle ruiten stuk. Warmoesstraat 151, Café Terminus: 1 lichtbak en 1 spiegelruit stuk. Warmoesstraat 151 II en III: lichte glasschade. Warmoesstraat 157, pakhuis De Beijenkorf: glasschade eerste etage. Warmoesstraat 165: spiegelruit verbrijzeld door een paard van een politieagent 6 gewonden		POINT(4.895687 52.373564)	4,895687	52,373564
314	Silodam 129	Vliegtuig(onderdeel) neergestort	22/12/1943	Lege benzinetank, ca. 2 meter groot, neergekomen		POINT(4.891104 52.390828)	4,891104	52,390828
315	Westhavenweg 109	Bom, granaat, afweergeschut	22/12/1943	Granaat geëxplodeerd. Geen schade		POINT(4.823309 52.41738)	4,823309	52,41738
316	Lutkemeerweg 300	Bom, granaat, afweergeschut	12/02/1944	Blindganger van het afweergeschut		POINT(4.765708 52.358286)	4,765708	52,358286
317	Brederodestraat 116	Vliegtuig(onderdeel) neergestort	20/02/1944	Een lege benzinetank neergekomen. Schade aan de dakgoot. Geen persoonlijke ongelukken		POINT(4.861727 52.360746)	4,861727	52,360746
318	Argostraat 9	Vliegtuig(onderdeel) neergestort	21/02/1944	Een lege benzinetank neergekomen		POINT(4.892078 52.41278)	4,892078	52,41278
319	Orionplantsoen 2	Vliegtuig(onderdeel) neergestort	21/02/1944	Een lege benzinetank neergekomen		POINT(4.886931 52.413037)	4,886931	52,413037
320	Plantage Kerklaan 38	Vliegtuig(onderdeel) neergestort	22/02/1944	Een lege benzinetank gevonden		POINT(4.912586 52.366955)	4,912586	52,366955
321	Eerste Ringdijkstraat 42	Vliegtuig(onderdeel) neergestort	03/03/1944	Een benzinetank neergekomen		POINT(4.91954 52.349394)	4,91954	52,349394
322	Singel 11	Vliegtuig(onderdeel) neergestort	06/03/1944	Een lege benzinetank neergekomen. De houten beschoeiing aan de rand van de koepel raakte over ca. 2 meter beschadigd		POINT(4.893274 52.377949)	4,893274	52,377949
323	Admiraal De Ruijterweg 192/III	Vliegtuig(onderdeel) neergestort	08/03/1944	Een benzinetank neergekomen		POINT(4.85839 52.37592)	4,85839	52,37592
324	Nieuwendammerstraat 44	Vliegtuig(onderdeel) neergestort	08/03/1944	Een benzinetank neergekomen		POINT(4.94275 52.392723)	4,94275	52,392723
325	Admiraal De Ruijterweg 95	Vliegtuig(onderdeel) neergestort	08/03/1944	Een lege benzinetank naar beneden gekomen. Gat in het dak van 80x50 cm 		POINT(4.859231 52.371853)	4,859231	52,371853
326	Spaarndammerstraat 56	Vliegtuig(onderdeel) neergestort	22/03/1944	Een Amerikaans vliegtuig (type Boeing Fortress) brandend neergestort 		POINT(4.880989 52.387676)	4,880989	52,387676
327	Willem de Zwijgerlaan 193/I	Bom, granaat, afweergeschut	22/03/1944	Niet-ontplofte granaat van het afweergeschut ingeslagen door een ruit aan de voorzijde  `De granaat is door een deur geslagen, heeft een muur beschadigd en is door een der bewoners naar buiten geworpen, maar niet gevonden.` 1 dode		POINT(4.862468 52.376343)	4,862468	52,376343
328	Spaarndammerstraat 56	Vliegtuig(onderdeel) neergestort	22/03/1944	Een benzinetank nog gedeeltelijk met benzine gevuld neergekomen. Brand- en glasschade: St. Vincentiusschool aan de Westzaanstraat, Westzaanstraat 26-28 en 65-67, Spaarndammerstraat 56-58. Glasschade: Westzaanstraat 12-24 en Spaarndammerstraat 54  3 doden, 5 zwaargewonden, 1 lichtgewonde, 1 dood paard		POINT(4.880989 52.387676)	4,880989	52,387676
329	Pretoriusstraat 82	Bom, granaat, afweergeschut	17/04/1944	Een niet-ontplofte granaat van het afweergeschut gevonden ?		POINT(4.921186 52.354712)	4,921186	52,354712
330	Kramatweg 86	Luchtaanval	22/04/1944	Trein beschoten door een Amerikaans jachtvliegtuig, in duikvlucht met boordwapens. Schade aan 15 huizen: Valentijnkade 11hs, 12 hs, 12 II, 13 hs, 14 I, 14 II en 17 hs. Kramatweg 82 I, 83 II, 84 II, 86 I, 86 II en 89 III. 1 dode, 2 lichtgewonden		POINT(4.944803 52.359189)	4,944803	52,359189
331	Buiksloterweg 3	Luchtaanval	22/04/1944	IJ-veer beschoten door een Amerikaans jachtvliegtuig, in duikvlucht met boordwapens. 3 gewonden.  Rapporteert de Hoofdschipper der Rijkswaterpolitie Snoerwang dat te plus minus 19.30 uur door een Engelsch vliegtuig de gemeentepont no.16 op het IJ nabij de Buiksloterweg is beschoten. De pont kreeg 20 a 25 treffers. Aan de achterzijde stuur- en bakboord. De stuurhut werd op verschillende plaatsen doorschoten, doch de kapitein genaamd: Ulke Houtman, oud 57 jaar, woont Zoutmanstraat 23 te Haarlem, bleef ongedeerd. Van de passagiers geraakten drie personen ernstig en een licht gewond. De gewonden zijn genaamd: Wilhelmina Maria Christina van Althuis, geb. Amsterdam 12-4-28, confectienaaister, woont Hazelaarstraat 3 huis alhier, kreeg drie wonden in de buik; Jan George Ketel, geb. Amsterdam 14-3-83, gep. Ambtenaar, woont Lavendelstraat 2 huis alhier, werd de linker dijbeenslagader doorgeschoten; Jannetje Zwart, geb. Amsterdam1-2-86, apothekersassistente, woont van der Pekstraat 78 huis alhier, kreeg twee wonden linkerbeen een wond linkerarm. Deze is voorlopig verbonden in het Duitsche Marine Hospitaal IJpaviljoen; Lodewijk Boger, geb. Amsterdam 13-11-10, typograaf, woont Formosastraat 18-II alhier, werd gewond aan linkerhand en zitvlak. Alle vier de gewonden zijn per G.G. en G.D. overgebracht naar het Binnengasthuis. Door schipper Izakson van de Rijkswaterpolitie zijn de familieleden der gewonden wonende in deze afdeling gewaarschuwd. Telexbericht groep 6 verzonden, benevens 4voud afschrift rapport naar kamer 14 H.B.  		POINT(4.903285 52.382448)	4,903285	52,382448
332	Amstelveenseweg 968	Vliegtuig(onderdeel) neergestort	29/04/1944	Een lege benzinetank neergekomen. Dak beschadigd, schoorsteen vernield, evenals elektra en kachelinstallatie		POINT(4.857211 52.325836)	4,857211	52,325836
333	Archimedesplantsoen 61/boven	Bom, granaat, afweergeschut	29/04/1944	Afweergeschut. Zeer licht beschadigd door afweergeschut		POINT(4.94361 52.353765)	4,94361	52,353765
334	Uitdammerdijk 38	Vliegtuig(onderdeel) neergestort	20/05/1944	Een lege benzinetank van een vliegtuig gevonden		POINT(5.054163 52.414523)	5,054163	52,414523
335	Osdorperweg 737	Bom, granaat, afweergeschut	24/05/1944	Niet-ontplofte granaat gevonden, 12 cm lang?		POINT(4.772979 52.372776)	4,772979	52,372776
336	Bartholomeus Diazstraat 12	Overig	05/06/1944	Een zuurstofapparaat, vermoedelijk afkomstig uit een vliegtuig, gevonden		POINT(4.854918 52.370332)	4,854918	52,370332
337	Osdorperweg 57	Bom, granaat, afweergeschut	11/08/1944	Een niet-ontploft projectiel, ca. 15 cm middellijn, gevonden		POINT(4.796683 52.343858)	4,796683	52,343858
338	Pretoriusstraat 55	Vliegtuig(onderdeel) neergestort	19/09/1944	Benzinetank neergekomen. Geen schade. 1 lichtgewonde		POINT(4.922813 52.354961)	4,922813	52,354961
339	Eerste Oosterparkstraat 89/III	Vliegtuig(onderdeel) neergestort	19/09/1944	Benzinetank door het dak van de derde verdieping geslagen. Aanzienlijke schade. tweede verdieping benzineschade. 1 dode		POINT(4.909955 52.356285)	4,909955	52,356285
340	Middenweg 64	Vliegtuig(onderdeel) neergestort	19/09/1944	Benzinetank neergekomen. Glasschade		POINT(4.930261 52.352986)	4,930261	52,352986
341	Karel Doormanstraat 125	Vliegtuig(onderdeel) neergestort	25/09/1944	Lege benzinetank neergekomen?		POINT(4.858261 52.379371)	4,858261	52,379371
342	Jan van Galenstraat 4	Vliegtuig(onderdeel) neergestort	25/09/1944	Lege benzinetank neergekomen		POINT(4.867491 52.376248)	4,867491	52,376248
343	Stadionplein 26	Bom, granaat, afweergeschut	15/10/1944	Een Duitse staafbrandbom gevonden		POINT(4.856136 52.343384)	4,856136	52,343384
344	Adelaarsweg 105	Vliegtuig(onderdeel) neergestort	30/10/1944	Een lege benzinetank naar beneden gekomen. Schade aan het wegdek en waterleidingnet		POINT(4.919365 52.388337)	4,919365	52,388337
345	Nieuwendammerdijk 2	Vliegtuig(onderdeel) neergestort	30/10/1944	Een lege benzinetank naar beneden gekomen.Schade aan het wegdek en waterleidingnet		POINT(4.925258 52.390885)	4,925258	52,390885
346	Wognumerstraat 191	Vliegtuig(onderdeel) neergestort	30/10/1944	Een lege benzinetank naar beneden gekomen. Lichte dakschade		POINT(4.944895 52.389756)	4,944895	52,389756
347	Wognumerstraat 167	Vliegtuig(onderdeel) neergestort	30/10/1944	Een lege benzinetank naar beneden gekomen. Schade aan het wegdek en waterleidingnet		POINT(4.946117 52.389491)	4,946117	52,389491
348	Galvanistraat 2 bij Radioweg	Bom, granaat, afweergeschut	26/11/1944	Granaat afweergeschut neergekomen		POINT(4.940475 52.353133)	4,940475	52,353133
349	Haarlemmermeerstraat 156	Overig	28/01/1945	Een pak neergekomen met pamfletten `Vliegende Hollander`. Schade aangericht aan luik en glasschade		POINT(4.85016 52.352174)	4,85016	52,352174
350	Leeuwarderweg 80	Mitrailleurvuur	14/02/1945	Bestookt met mitrailleurvuur vanuit een vliegtuig. 1 doden, 4 gewonden. 09.00 Nadat kennis was gegeven dat op de Leeuwarderweg eenige personen door schoten uit een overvliegend vliegtuig waren getroffen zijn de onderlt. De Zinger en HWM. Bijlsma met 2 operw.m. voor onderzoek naar de genoemden Leeuwarderweg gegaan en rapp. Zij bij terugkeer dat te pl.m. 6.45 uur, 5 personen op den Leeuwarderweg tusschen de Buikslotermeerdijk en de Slochterbrug, door kogels werden getroffen. Een dezer personen genaamd johannes Hendricus Penners, geb. 9-9-1911 te Amsterdam, metselaar was inmiddels aan de verwonding overleden. Dokter Berghuis, won. Meeuwenlaan 25 constateerde de dood. Het lijk is door de g.G. en G.D. naar het Binnengasthuis vervoerd, Familie dezerzijds gewaarschuwd. Verder werden verwond Johannes Hendrikus Cohen, Johannes Wilhelmus Brands, Franciscus Hubertus de Kuiper, W. v. Kuilenburg, genoemde personen werden door personeel van den vrijwilligen luchtbeschermingsdienst, in den woning van dokter Oosterbaan, Leeuwarderweg 15 binnengebracht welke dokter de eerste hulp verleende. Zijn vervolgens door de G.G. en G.D. voor verdere behandeling naar het Binnen-Gasthuis vervoerd. Luchtbeschermingsdienst in kennis gesteld. De eidendommen van Penners, bestaande uit F. 463,50 bevinden zich aan dit bureau.		POINT(4.924427 52.393102)	4,924427	52,393102
351	Witte de Withstraat 49/III	Luchtaanval	14/02/1945	Beschoten met boordgeschut vanuit vliegtuig. Veel schade aan ramen, glas en meubilair.		POINT(4.85901 52.366998)	4,85901	52,366998
352	Witte de Withstraat 51	Omgevingsschade	14/02/1945	/I en /II Lichte schade. /III Plafond, ruiten, meubilair beschadigd		POINT(4.859009 52.367079)	4,859009	52,367079
353	Admiralengracht 60/I en II	Omgevingsschade	14/02/1945	Glasschade en schade aan muur en trap		POINT(4.858248 52.36686)	4,858248	52,36686
354	Admiralengracht 62/III	Omgevingsschade	14/02/1945	Glasschade en gaten in de muur		POINT(4.858233 52.366932)	4,858233	52,366932
355	Middenweg 148	Luchtaanval	26/02/1945	Vliegtuigaanval. Schade aan Middenweg F 153 en 154. 1 auto getroffen. 1 dode en 1 zwaargewonde. 15.45 Rapporteert de Owr Dijs dat te omstreeks 15.45 uur in de Pretoriusstraat ter hoogte van de Linnaeusstraat ten gevolge van mitrailleervuur uit de lucht een vrouw en een jongen door kogels of scherven in de beenen werden gewond. De vrouw op meerdere plaatsen in het rechterbeen, de jongen in rechter dijbeen.  Beide slachtoffers zijn door de G.G. en G.D. naar het O.L.V. Gasthuis overgebracht en vandaar na verbonden te zijn naar hun woningen gebracht. Telex en viervoud naar H.B. verzonden. Dr. De Jong verleende eerste hulp. De Owrs Dijs en Pik hebben de gewonden met een snelverband verbonden. 		POINT(4.939545 52.347845)	4,939545	52,347845
356	Warmoesstraat 151	Omgevingsschade	13/12/1943	Warmoesstraat 151, Café Terminus: 1 lichtbak en 1 spiegelruit stuk. Warmoesstraat 151 II en III: lichte glasschade.		POINT(4.895556 52.373483)	4,895556	52,373483
357	Warmoesstraat 157	Omgevingsschade	13/12/1943	Pakhuis De Beijenkorf: glasschade eerste etage.		POINT(4.895454 52.373419)	4,895454	52,373419
358	Warmoesstraat 165	Omgevingsschade	13/12/1943	Spiegelruit verbrijzeld door een paard van een politieagent		POINT(4.895221 52.373275)	4,895221	52,373275
359	Memlingstraat 23-29	Omgevingsschade	26/11/1944	Memlingstraat 23-29 totaal verwoest.		POINT(4.874895 52.349299)	4,874895	52,349299
360	Gerrit van der Veenstraat 90-100	Omgevingsschade	26/11/1944	Euterpestraat 90-100 totaal verwoest (= Gerrit van der Veenstraat).		POINT(4.875484 52.349122)	4,875484	52,349122
361	Gerrit van der Veenstraat 71-75	Omgevingsschade	26/11/1944	Euterpestraat 71-75 totaal verwoest.		POINT(4.87647 52.348893)	4,87647	52,348893
362	Gerrit van der Veenstraat 83-93	Omgevingsschade	26/11/1944	Euterpestraat 83-91 totaal verwoest.		POINT(4.875385 52.348843)	4,875385	52,348843
363	Gerrit van der Veenstraat 91-109	Omgevingsschade	26/11/1944	Euterpestraat 91-109 totaal verwoest (gebouw S.D.).		POINT(4.875033 52.348815)	4,875033	52,348815
364	Albrecht Dürerstraat 23	Omgevingsschade	26/11/1944	Totaal verwoest.		POINT(4.87609 52.348729)	4,87609	52,348729
365	H?ndelstraat 17-19	Omgevingsschade	26/11/1944	H?ndelstraat 17 tot 19 volledig uitgebrand.		POINT(4.880716 52.348462)	4,880716	52,348462
366	Brahmsstraat 13	Bom, granaat, afweergeschut	26/11/1944	Blindganger		POINT(4.877783 52.348323)	4,877783	52,348323
367	Gerrit van der Veenstraat 13	Bom, granaat, afweergeschut	26/11/1944	Euterpestraat 13 [?], 18 en 20 blindganger.		POINT(4.880495 52.348587)	4,880495	52,348587
368	Van Walbeeckstraat 81/hs	Omgevingsschade	15/04/1942	Voorruit vernield		POINT(4.850786 52.362315)	4,850786	52,362315
384	Buikslotermeerdijk 232	Bom, granaat, afweergeschut	13/07/1940	Granaatscherf. Telefoon- en telegraafdraad gebroken.		POINT(4.948204 52.408807)	4,948204	52,408807
385	ZijkanaalF	Bom, granaat, afweergeschut	22/07/1940	Eén bom is neergekomen en ontploft. Bij zijkanaal F in de buurt van de Fordfabrieken. Iets ten zuiden van de Velserweg in de nabijheid van de Fordfabriek. Luchtgevecht tussen twee vliegtuigen: één bom is neergekomen en ontploft. Geen schade, geen slachtoffers.		POINT(4.816132 52.418571)	4,816132	52,418571
386	Blauwe polder	Overig	01/08/1940	3 bommen. In de Blauwe Polder van de Broekermeerpolder, ongeveer 200 meter van kruithuisje Het Schouw. Geen persoonlijke ongelukken, geen schade. Alle bommen zijn ontploft. Kraters van 6 tot 8 m. doorsnede, ± 1 m. diep. [niet ontploft projectiel blijkt zuurstofcilinder van lichtbom]		POINT(4.956336 52.411137)	4,956336	52,411137
387	Paramariboplein	Bom, granaat, afweergeschut	22/08/1940	Bom tot ontploffing gebracht. Vele ruiten beschadigd en dakpannen losgeslagen. Geen persoonlijke ongelukken.		POINT(4.854616 52.359477)	4,854616	52,359477
388	Spoorbaanstraat 36/Wibautstraat	Bom, granaat, afweergeschut	31/08/1940	Schade aan ramen, gordijnen, deuren enz.		POINT(4.913635 52.352010)	4,913635	52,35201
389	Spaarnwouderdijk 645	Overig	27/09/1940	Brandende Engelse kabelballon neergekomen. Achter Spaarnwouderdijk 645. Geen schade.		POINT(4.831088 52.385056)	4,831088	52,385056
390	Oostzanerdijk 141	Bom, granaat, afweergeschut	02/10/1940	2 brandende brandbommen. Voor Oostzanerdijk 141. Geen brand.		POINT(4.879625 52.420711)	4,879625	52,420711
391	Oostzanerdijk 140	Bom, granaat, afweergeschut	02/10/1940	Brandbommen neergekomen op de dijk. Geen schade.		POINT(4.878917 52.421110)	4,878917	52,42111
392	Buikslotermeerdijk 134	Bom, granaat, afweergeschut	07/10/1940	Bominslag. Gevel weggeslagen. 4 lichtgewonden.		POINT(4.944631 52.409147)	4,944631	52,409147
393	Buikslotermeerdijk 134	Omgevingsschade	07/10/1940	Bominslag, 02.15 Rapporteert de A.P. Brontsema dat plm 11 uur in den avond van maandag 07-10-40 op perceel Buikslotermeerdijk 134 bewoond door de familie van Voorn bestaande uit man, vrouw, zoon en dochter, een bom is geworpen. Hierdoor werd de zijmuur geheel vernield terwijl terwijl zolder en vloeren verzakken. De bewoners kregen geen letsel. Zij hebben tijdelijk bij buren onderdak gekregen.  Van eenige in de omgeving staande woningen werden de ruiten vernield.		POINT(4.944330 52.409206)	4,94433	52,409206
394	Muiderpoortstation	Bom, granaat, afweergeschut	07/10/1940	3 brandbommen. Brand door het personeel geblust		POINT(4.931166 52.360689)	4,931166	52,360689
395	Kostverlorenkade 4	Bom, granaat, afweergeschut	08/10/1940	Bominslag. Brand. Ruiten gesprongen.		POINT(4.873778 52.379607)	4,873778	52,379607
396	Buyskade 43	Bom, granaat, afweergeschut	08/10/1940	1 brisantbom geëxplodeerd. Zandterrein.		POINT(4.870130 52.376477)	4,87013	52,376477
397	Vondelpark	Bom, granaat, afweergeschut	08/10/1940	2 brisantbommen geëxplodeerd. [`Bij nader onderzoek is gebleken, dat 5 brisantbommen en 2 granaatkartetsen in het Vondelpark zijn terecht gekomen.`]  Hoofdbuis gasleiding getroffen.  Een uitgebreid onderzoek over bommen op het Vondelpark en Amsterdam-Zuid is hier te vinden:  http://www.zuid.amsterdam.nl/publish/pages/589802/1_3_7_bp_wpvp_bijlage_7_vooronderzoek_explosieven.pdf.  		POINT(4.866750 52.357623)	4,86675	52,357623
398	Rappardstraat 32	Bom, granaat, afweergeschut	08/10/1940	Bominslag.		POINT(4.869143 52.378409)	4,869143	52,378409
399	Oostenburgermiddenstraat	Bom, granaat, afweergeschut	09/10/1940	Deel van een bom door dak montagehal Werkspoor		POINT(4.925727 52.370732)	4,925727	52,370732
